source_id,target_reg,pred,media_type
101,5.0,4.1318232549878315,movie
102,2.0,2.9146038088834443,movie
103,4.0,4.187987961294327,movie
104,4.0,3.996828810126007,movie
105,4.5,3.6569888318855477,movie
106,4.0,3.4727008719117594,movie
107,4.0,3.14036007246037,movie
108,4.0,3.5200973127275135,movie
109,4.5,3.4226682928211885,movie
110,3.5,3.581153861983592,movie
111,4.0,3.4857078561742343,movie
112,4.0,3.810727197759475,movie
113,3.0,3.614576064928593,movie
114,2.0,2.20558239680562,movie
115,4.0,3.1954728516894386,movie
116,2.0,3.368250285195483,movie
117,3.0,3.288278074027456,movie
118,2.5,3.4258567223298755,movie
119,2.0,2.553169205296289,movie
120,4.0,3.323902923523753,movie
121,3.0,3.5198682310339047,movie
122,4.0,2.4696223020770693,movie
123,4.0,4.4920835956427565,movie
124,3.0,3.9994795340758102,movie
125,4.0,3.9267469991346915,movie
126,4.0,4.017338687738948,movie
127,5.0,4.141088677377509,movie
128,4.0,4.428758945230372,movie
129,4.0,4.170534483785991,movie
130,4.0,3.8433278615977997,movie
131,3.0,3.5997028397684416,movie
132,3.0,3.2301168722473093,movie
133,3.0,3.257274858298954,movie
134,3.0,3.3656169120161756,movie
135,3.0,3.37954027834598,movie
136,3.0,3.936079311520396,movie
137,4.5,3.930369040732079,movie
138,3.0,2.5759585401914906,movie
139,3.0,2.824847512756495,movie
140,4.0,3.9555810384567267,movie
141,4.0,3.4564193826839764,movie
142,3.0,3.247814513830246,movie
143,3.5,3.376188206534433,movie
144,4.0,3.587212545786552,movie
145,4.0,3.8139897376384555,movie
146,4.0,3.929046684872682,movie
147,4.0,3.905760420375814,movie
148,4.0,3.924891701902922,movie
149,4.0,3.5080495666801617,movie
150,3.0,2.905129482562695,movie
151,3.0,3.225908305503146,movie
152,3.0,2.769633649448884,movie
153,3.0,3.025823296820316,movie
154,4.0,3.5278394499787233,movie
155,3.0,3.0479960366921803,movie
156,2.0,2.4871115657672918,movie
157,3.0,3.004633180787642,movie
158,3.0,2.5536916765179654,movie
159,2.0,3.2448540366909158,movie
160,2.5,2.578179343299598,movie
161,3.0,2.782644623948196,movie
162,3.0,3.16755719689473,movie
163,3.0,3.0495994859035003,movie
164,3.0,2.9728197964893526,movie
165,3.0,2.2094817870631345,movie
166,3.0,2.601627177725404,movie
167,3.0,2.766910318416462,movie
168,3.0,2.8569628573239294,movie
169,3.0,2.752959871171494,movie
170,3.0,2.7317137143330505,movie
171,3.0,3.784387430160694,movie
172,3.0,3.4152469300111243,movie
173,3.0,2.535002820569022,movie
174,3.0,2.3775457354876464,movie
175,3.0,2.37381384662775,movie
176,3.0,2.1373353211230866,movie
177,3.0,2.3859049015218634,movie
178,3.0,2.5100960384792623,movie
179,2.5,2.147457828056188,movie
180,5.0,4.14935816376079,movie
181,3.0,2.4852362741335563,movie
182,4.0,4.1907685020747385,movie
183,4.0,3.69884671121427,movie
184,4.5,4.183112825988774,movie
185,4.0,3.921195201717816,movie
186,4.0,4.039008660358965,movie
187,4.0,3.448128772227567,movie
188,5.0,4.564910737110969,movie
189,4.0,3.810749282823361,movie
190,4.0,3.8057818427082992,movie
191,3.5,3.4002614486121465,movie
192,4.0,3.7752026299361057,movie
193,3.0,3.7477021335854426,movie
194,3.0,3.350678191985145,movie
195,3.0,3.8107757618429448,movie
196,4.0,3.676187545748826,movie
197,5.0,4.002992846321434,movie
198,3.0,3.153641307974582,movie
199,3.0,3.1468154363500025,movie
200,3.0,2.8388816722122514,movie
201,3.0,3.4064515223066785,movie
202,3.5,3.399085859268131,movie
203,4.0,3.6827544094496196,movie
204,3.0,2.890003275496953,movie
205,3.0,2.7369733338316764,movie
206,4.0,3.379300324657649,movie
207,2.5,3.0596155617459844,movie
208,3.5,3.7076972642020656,movie
209,3.5,3.239500929491186,movie
210,3.0,3.571054045723045,movie
211,4.0,3.884170347372997,movie
212,3.0,1.9231332224605537,movie
213,4.0,3.4911930411475276,movie
214,4.0,3.7697838573685374,movie
215,3.0,2.5947908809778935,movie
216,4.0,3.0561771524420664,movie
217,3.0,3.876908492233407,movie
218,2.0,2.5141744424583212,movie
219,4.0,3.6041079546763344,movie
220,3.0,2.9935549296063746,movie
221,3.0,2.7288278751765183,movie
222,3.5,4.350852559051739,movie
223,2.0,3.4031680121111414,movie
224,4.0,3.6318632710345455,movie
225,4.0,4.07705888076231,movie
226,4.0,4.118243520944374,movie
227,3.0,3.492092745001963,movie
228,4.5,3.4882478932304197,movie
229,4.0,3.343665671032118,movie
230,4.0,3.7452117176538477,movie
231,3.0,3.139392253267109,movie
232,4.0,4.085234662219447,movie
233,4.0,3.9300474661951688,movie
234,4.0,3.4461822711483476,movie
235,5.0,3.8614964697963656,movie
236,2.0,2.273015749979735,movie
237,3.0,2.6706737238921385,movie
238,3.0,2.5437067411289727,movie
239,3.0,3.040032274008768,movie
240,3.0,2.5628814356491576,movie
241,3.0,3.209370385668597,movie
242,4.0,3.4543692408357147,movie
243,4.0,3.798948305817362,movie
244,4.0,3.5456768614516228,movie
245,3.0,2.9851551261346834,movie
246,4.0,3.3734187884711,movie
247,3.5,3.4254482485526703,movie
248,3.0,3.569211372721096,movie
249,3.0,3.3828983114855076,movie
250,3.0,3.607953378015252,movie
251,3.0,3.72509776668081,movie
252,3.5,3.939358933318295,movie
253,3.5,3.6323624851249328,movie
254,2.5,2.241943001104278,movie
255,4.0,4.085711242953353,movie
256,3.0,3.3333420811222467,movie
257,3.0,3.1658097810364145,movie
258,4.0,3.5549021459500585,movie
259,2.5,2.6951600384071677,movie
260,2.5,3.382382459116653,movie
261,3.0,3.346815552549542,movie
262,3.0,3.3532034072568377,movie
263,3.0,2.7250620071358713,movie
264,1.0,1.7735181947131309,movie
265,2.0,2.2549281692588456,movie
266,2.0,2.3447854891854187,movie
267,3.0,3.250837185276699,movie
268,4.0,3.647802021222188,movie
269,3.0,2.66406797730376,movie
270,4.0,3.9722039426956934,movie
271,3.0,2.988057414176442,movie
272,2.0,2.512158944747619,movie
273,2.0,1.4963016155870252,movie
274,1.0,1.7964502097746522,movie
275,2.0,1.937221360042812,movie
276,2.0,2.64710728837338,movie
277,2.0,3.263415011405475,movie
278,2.0,3.433330412664579,movie
279,2.0,2.0725379258565857,movie
280,2.0,2.4723952567540097,movie
281,2.0,2.3643247238728184,movie
282,4.0,4.0379316389283195,movie
283,4.0,3.9618918347958223,movie
284,2.0,2.110256930421874,movie
285,2.0,3.4317000394704515,movie
286,4.0,3.4398627554946986,movie
287,3.0,3.398694581762824,movie
288,3.0,3.243185635524506,movie
289,3.0,3.585591562650804,movie
290,1.0,2.5324105055440715,movie
291,4.0,3.9473755355277396,movie
292,4.0,3.5188566259686156,movie
293,3.0,4.001951198941915,movie
294,3.0,2.541862813476124,movie
295,2.0,2.1314776234514765,movie
296,4.0,3.0011509700796664,movie
297,4.0,3.0521438752790537,movie
298,3.0,2.6440866814805246,movie
299,3.0,2.3200490523329416,movie
