domain,fraction,fold,repeat,n_train,n_test,MAE,skill
movie,0.25,15,0,219,105,0.5190476190476191,0.286040453340919
movie,0.25,15,1,219,105,0.4857142857142857,0.3318910664291169
movie,0.25,15,2,219,105,0.49047619047619045,0.3253409788450886
movie,0.5,15,0,438,105,0.5142857142857142,0.2925905409249473
movie,0.5,15,1,438,105,0.49523809523809526,0.3187908912610603
movie,0.5,15,2,438,105,0.4857142857142857,0.3318910664291169
movie,0.75,15,0,656,105,0.48095238095238096,0.3384411540131451
movie,0.75,15,1,656,105,0.4857142857142857,0.3318910664291169
movie,0.75,15,2,656,105,0.4857142857142857,0.3318910664291169
movie,1.0,15,0,875,105,0.4714285714285714,0.3515413291812016
movie,0.25,16,0,220,100,0.59,0.29853004755728485
movie,0.25,16,1,220,100,0.51,0.3936446173800259
movie,0.25,16,2,220,100,0.595,0.29258538694336356
movie,0.5,16,0,440,100,0.545,0.3520319930825766
movie,0.5,16,1,440,100,0.515,0.3876999567661046
movie,0.5,16,2,440,100,0.51,0.3936446173800259
movie,0.75,16,0,660,100,0.56,0.3341980112408126
movie,0.75,16,1,660,100,0.55,0.3460873324686553
movie,0.75,16,2,660,100,0.495,0.41147859922178986
movie,1.0,16,0,880,100,0.515,0.3876999567661046
movie,0.25,17,0,222,94,0.48404255319148937,0.294968432466465
movie,0.25,17,1,222,94,0.4734042553191489,0.31046363175291625
movie,0.25,17,2,222,94,0.44680851063829785,0.3492016299690446
movie,0.5,17,0,443,94,0.43617021276595747,0.36469682925549585
movie,0.5,17,1,443,94,0.4574468085106383,0.3337064306825933
movie,0.5,17,2,443,94,0.48936170212765956,0.2872208328232393
movie,0.75,17,0,664,94,0.44680851063829785,0.3492016299690446
movie,0.75,17,1,664,94,0.4521276595744681,0.3414540303258189
movie,0.75,17,2,664,94,0.4627659574468085,0.3259588310393676
movie,1.0,17,0,886,94,0.44680851063829785,0.3492016299690446
movie,0.25,18,0,221,97,0.5567010309278351,0.3354425087108013
movie,0.25,18,1,221,97,0.5824742268041238,0.3046759581881532
movie,0.25,18,2,221,97,0.5824742268041238,0.3046759581881532
movie,0.5,18,0,442,97,0.5876288659793815,0.2985226480836236
movie,0.5,18,1,442,97,0.5721649484536082,0.31698257839721244
movie,0.5,18,2,442,97,0.5309278350515464,0.3662090592334494
movie,0.75,18,0,662,97,0.5567010309278351,0.3354425087108013
movie,0.75,18,1,662,97,0.5257731958762887,0.37236236933797895
movie,0.75,18,2,662,97,0.5309278350515464,0.3662090592334494
movie,1.0,18,0,883,97,0.5309278350515464,0.3662090592334494
movie,0.25,19,0,221,96,0.4739583333333333,0.36086569630712517
movie,0.25,19,1,221,96,0.5260416666666666,0.2906311574397763
movie,0.25,19,2,221,96,0.546875,0.26253734189283673
movie,0.5,19,0,442,96,0.4739583333333333,0.36086569630712517
movie,0.5,19,1,442,96,0.5260416666666666,0.2906311574397763
movie,0.5,19,2,442,96,0.5364583333333334,0.27658424966630646
movie,0.75,19,0,663,96,0.5052083333333334,0.31872497298671576
movie,0.75,19,1,663,96,0.53125,0.28360770355304143
movie,0.75,19,2,663,96,0.4635416666666667,0.3749126040805949
movie,1.0,19,0,884,96,0.46875,0.36788915019386004
movie,0.25,20,0,222,92,0.6739130434782609,0.2207880434782611
movie,0.25,20,1,222,92,0.6358695652173914,0.26477581521739146
movie,0.25,20,2,222,92,0.657608695652174,0.23963994565217406
movie,0.5,20,0,444,92,0.6413043478260869,0.25849184782608725
movie,0.5,20,1,444,92,0.5815217391304348,0.3276154891304349
movie,0.5,20,2,444,92,0.6141304347826086,0.289911684782609
movie,0.75,20,0,666,92,0.6141304347826086,0.289911684782609
movie,0.75,20,1,666,92,0.5978260869565217,0.30876358695652195
movie,0.75,20,2,666,92,0.5869565217391305,0.3213315217391306
movie,1.0,20,0,888,92,0.5706521739130435,0.3401834239130437
movie,0.25,21,0,220,102,0.5147058823529411,0.3198016733808492
movie,0.25,21,1,220,102,0.49019607843137253,0.3521920698865231
movie,0.25,21,2,220,102,0.5980392156862745,0.20967432526155805
movie,0.5,21,0,439,102,0.5049019607843137,0.3327578319831187
movie,0.5,21,1,439,102,0.5392156862745098,0.2874112768751753
movie,0.5,21,2,439,102,0.5392156862745098,0.2874112768751753
movie,0.75,21,0,658,102,0.5098039215686274,0.32627975268198395
movie,0.75,21,1,658,102,0.47058823529411764,0.3781043870910621
movie,0.75,21,2,658,102,0.5,0.33923591128425346
movie,1.0,21,0,878,102,0.5245098039215687,0.3068455147785796
movie,0.25,22,0,221,97,0.5618556701030928,0.2707787189550406
movie,0.25,22,1,221,97,0.5567010309278351,0.2774688224508659
movie,0.25,22,2,221,97,0.5309278350515464,0.31091933992999254
movie,0.5,22,0,442,97,0.5103092783505154,0.33767975391329386
movie,0.5,22,1,442,97,0.5412371134020618,0.2975391329383419
movie,0.5,22,2,442,97,0.5515463917525774,0.28415892594669123
movie,0.75,22,0,662,97,0.5154639175257731,0.33098965041746853
movie,0.75,22,1,662,97,0.5567010309278351,0.2774688224508659
movie,0.75,22,2,662,97,0.5515463917525774,0.28415892594669123
movie,1.0,22,0,883,97,0.5721649484536082,0.25739851196339003
movie,0.25,23,0,219,105,0.5333333333333333,0.2907185455387643
movie,0.25,23,1,219,105,0.5333333333333333,0.2907185455387643
movie,0.25,23,2,219,105,0.5476190476190477,0.2717199351514098
movie,0.5,23,0,438,105,0.5,0.33504863644259153
movie,0.5,23,1,438,105,0.47619047619047616,0.36671298708818245
movie,0.5,23,2,438,105,0.5285714285714286,0.2970514156678825
movie,0.75,23,0,656,105,0.5,0.33504863644259153
movie,0.75,23,1,656,105,0.49523809523809526,0.34138150657170974
movie,0.75,23,2,656,105,0.5095238095238095,0.3223828961843552
movie,1.0,23,0,875,105,0.46190476190476193,0.38571159747553696
movie,0.25,24,0,220,101,0.5346534653465347,0.30090137857900323
movie,0.25,24,1,220,101,0.5693069306930693,0.2555894308943091
movie,0.25,24,2,220,101,0.5445544554455446,0.28795510781194766
movie,0.5,24,0,440,101,0.5198019801980198,0.32032078472958647
movie,0.5,24,1,440,101,0.5,0.3462133262636975
movie,0.5,24,2,440,101,0.5198019801980198,0.32032078472958647
movie,0.75,24,0,659,101,0.5198019801980198,0.32032078472958647
movie,0.75,24,1,659,101,0.5247524752475248,0.3138476493460587
movie,0.75,24,2,659,101,0.5148514851485149,0.32679392011311426
movie,1.0,24,0,879,101,0.5247524752475248,0.3138476493460587
movie,0.25,25,0,222,93,0.510752688172043,0.3061525286958815
