target,source,music,protocol,fraction,fold,repeat,N,MAE,skill,spearman
movie,tv+book,False,C,0.5,3,0,96,0.5260416666666666,0.3281259406417435,0.7002679585429908
movie,tv+book,False,C,1.0,3,0,96,0.515625,0.3414303774607188,0.6807584575068035
movie,game+book,False,B,0.0,3,0,96,0.8333333333333334,-0.06435494551803034,0.015800001193155933
movie,game+book,False,C,0.0,3,0,96,0.8333333333333334,-0.06435494551803034,0.015800001193155933
movie,game+book,False,C,0.25,3,0,96,0.5989583333333334,0.23499488290891568,0.5526248775416487
movie,game+book,False,C,0.5,3,0,96,0.5416666666666666,0.30816928541328037,0.6685450413757897
movie,game+book,False,C,1.0,3,0,96,0.5052083333333334,0.3547348142796941,0.678709356592267
movie,tv+game+book,False,B,0.0,3,0,96,0.7760416666666666,0.00881945698633435,0.1389147472568071
movie,tv+game+book,False,C,0.0,3,0,96,0.7760416666666666,0.00881945698633435,0.1389147472568071
movie,tv+game+book,False,C,0.25,3,0,96,0.5833333333333334,0.2549515381373788,0.592240811875692
movie,tv+game+book,False,C,0.5,3,0,96,0.5520833333333334,0.29486484859430495,0.6634338236702164
movie,tv+game+book,False,C,1.0,3,0,96,0.5104166666666666,0.3480825958702065,0.6862812401941059
movie,(target-only),False,A,1.0,4,0,100,0.46,0.2933084268780224,0.6749500202924757
movie,tv,False,B,0.0,4,0,100,0.585,0.10127267331226764,0.4625077104331174
movie,tv,False,C,0.0,4,0,100,0.585,0.10127267331226764,0.4625077104331174
movie,tv,False,C,0.25,4,0,100,0.515,0.2088126953090903,0.6781626936867275
movie,tv,False,C,0.5,4,0,100,0.51,0.21649412545172042,0.6706659375399454
movie,tv,False,C,1.0,4,0,100,0.445,0.31635271730591297,0.727568289534866
movie,game,False,B,0.0,4,0,100,0.925,-0.42106457638658545,-0.21854959676653984
movie,game,False,C,0.0,4,0,100,0.925,-0.42106457638658545,-0.21854959676653984
movie,game,False,C,0.25,4,0,100,0.515,0.2088126953090903,0.6741924363022191
movie,game,False,C,0.5,4,0,100,0.5,0.23185698573698088,0.6785522887661194
movie,game,False,C,1.0,4,0,100,0.435,0.3317155775911733,0.7011305493288709
movie,book,False,B,0.0,4,0,100,0.895,-0.3749759955308043,-0.008376044016576765
movie,book,False,C,0.0,4,0,100,0.895,-0.3749759955308043,-0.008376044016576765
movie,book,False,C,0.25,4,0,100,0.51,0.21649412545172042,0.6871587160064627
movie,book,False,C,0.5,4,0,100,0.495,0.239538415879611,0.662352074893551
movie,book,False,C,1.0,4,0,100,0.44,0.3240341474485432,0.7179386131702008
movie,tv+game,False,B,0.0,4,0,100,0.805,-0.23671025296346082,0.2856251153173879
movie,tv+game,False,C,0.0,4,0,100,0.805,-0.23671025296346082,0.2856251153173879
movie,tv+game,False,C,0.25,4,0,100,0.545,0.16272411445330903,0.6813687984059704
movie,tv+game,False,C,0.5,4,0,100,0.525,0.19344983502382984,0.6664804896149565
movie,tv+game,False,C,1.0,4,0,100,0.455,0.3009898570206525,0.7004682645705644
movie,tv+book,False,B,0.0,4,0,100,0.63,0.0321398020285959,0.21801112958320587
movie,tv+book,False,C,0.0,4,0,100,0.63,0.0321398020285959,0.21801112958320587
movie,tv+book,False,C,0.25,4,0,100,0.525,0.19344983502382984,0.6435166076451188
movie,tv+book,False,C,0.5,4,0,100,0.48,0.2625827063075017,0.6607022012583594
movie,tv+book,False,C,1.0,4,0,100,0.45,0.30867128716328274,0.6987936130953353
movie,game+book,False,B,0.0,4,0,100,0.73,-0.12148880082400781,-0.12369863357919073
movie,game+book,False,C,0.0,4,0,100,0.73,-0.12148880082400781,-0.12369863357919073
movie,game+book,False,C,0.25,4,0,100,0.505,0.22417555559435065,0.6988137906940447
movie,game+book,False,C,0.5,4,0,100,0.48,0.2625827063075017,0.6699550034167038
movie,game+book,False,C,1.0,4,0,100,0.43,0.33939700773380355,0.7010268656453942
movie,tv+game+book,False,B,0.0,4,0,100,0.605,0.07054695274174683,0.2620369589130296
movie,tv+game+book,False,C,0.0,4,0,100,0.605,0.07054695274174683,0.2620369589130296
movie,tv+game+book,False,C,0.25,4,0,100,0.515,0.2088126953090903,0.6631748413929169
movie,tv+game+book,False,C,0.5,4,0,100,0.52,0.20113126516646007,0.6403455900201288
movie,tv+game+book,False,C,1.0,4,0,100,0.43,0.33939700773380355,0.7184292359962401
movie,(target-only),False,A,1.0,5,0,102,0.553921568627451,0.3380614341757626,0.7054316894209208
movie,tv,False,B,0.0,5,0,102,0.75,0.10374689760081146,0.3521000179060718
movie,tv,False,C,0.0,5,0,102,0.75,0.10374689760081146,0.3521000179060718
movie,tv,False,C,0.25,5,0,102,0.5931372549019608,0.2911985268607724,0.6475996770976356
movie,tv,False,C,0.5,5,0,102,0.5147058823529411,0.38492434149075305,0.6774325796269518
movie,tv,False,C,1.0,5,0,102,0.5196078431372549,0.37906647807637917,0.7343053041150036
movie,game,False,B,0.0,5,0,102,0.9411764705882353,-0.12470977555976592,-0.1390377083456
movie,game,False,C,0.0,5,0,102,0.9411764705882353,-0.12470977555976592,-0.1390377083456
movie,game,False,C,0.25,5,0,102,0.6029411764705882,0.27948280003202497,0.6305361257956997
movie,game,False,C,0.5,5,0,102,0.5392156862745098,0.35563502441888406,0.7004253912362103
movie,game,False,C,1.0,5,0,102,0.5490196078431373,0.3439192975901364,0.6854600820077957
movie,book,False,B,0.0,5,0,102,1.142156862745098,-0.36488217554909097,-0.14585661915879564
