domain,fraction,fold,repeat,n_train,n_test,MAE,skill
movie,0.75,14,2,675,100,0.46,0.33208569953536415
movie,1.0,14,0,900,100,0.48,0.3030459473412497
movie,0.25,15,0,225,100,0.55,0.26153570735928156
movie,0.25,15,1,225,100,0.525,0.2951022661156778
movie,0.25,15,2,225,100,0.525,0.2951022661156778
movie,0.5,15,0,450,100,0.515,0.3085288896182363
movie,0.5,15,1,450,100,0.47,0.3689486953797497
movie,0.5,15,2,450,100,0.55,0.26153570735928156
movie,0.75,15,0,675,100,0.475,0.3622353836284705
movie,0.75,15,1,675,100,0.55,0.26153570735928156
movie,0.75,15,2,675,100,0.5,0.32866882487207416
movie,1.0,15,0,900,100,0.515,0.3085288896182363
movie,0.25,16,0,225,100,0.555,0.305806487478111
movie,0.25,16,1,225,100,0.515,0.35583845234455347
movie,0.25,16,2,225,100,0.52,0.34958445673624816
movie,0.5,16,0,450,100,0.56,0.2995524918698057
movie,0.5,16,1,450,100,0.53,0.33707646551963755
movie,0.5,16,2,450,100,0.56,0.2995524918698057
movie,0.75,16,0,675,100,0.53,0.33707646551963755
movie,0.75,16,1,675,100,0.525,0.34333046112794285
movie,0.75,16,2,675,100,0.51,0.3620924479528588
movie,1.0,16,0,900,100,0.495,0.3808544347777747
movie,0.25,17,0,225,100,0.58,0.28600738613048826
movie,0.25,17,1,225,100,0.565,0.3044727123512515
movie,0.25,17,2,225,100,0.555,0.31678292983176026
movie,0.5,17,0,450,100,0.545,0.329093147312269
movie,0.5,17,1,450,100,0.515,0.3660237997537955
movie,0.5,17,2,450,100,0.58,0.28600738613048826
movie,0.75,17,0,675,100,0.54,0.3352482560525235
movie,0.75,17,1,675,100,0.53,0.34755847353303226
movie,0.75,17,2,675,100,0.52,0.35986869101354113
movie,1.0,17,0,900,100,0.51,0.37217890849405
movie,0.25,18,0,225,100,0.52,0.29795085655995923
movie,0.25,18,1,225,100,0.49,0.3384536917584231
movie,0.25,18,2,225,100,0.54,0.27094896642765
movie,0.5,18,0,450,100,0.515,0.3047013290930366
movie,0.5,18,1,450,100,0.535,0.27769943896072724
movie,0.5,18,2,450,100,0.505,0.3182022741591912
movie,0.75,18,0,675,100,0.535,0.27769943896072724
movie,0.75,18,1,675,100,0.475,0.3587051093576551
movie,0.75,18,2,675,100,0.455,0.38570699948996434
movie,1.0,18,0,900,100,0.505,0.3182022741591912
movie,0.25,19,0,225,100,0.595,0.28330522765598676
movie,0.25,19,1,225,100,0.595,0.28330522765598676
movie,0.25,19,2,225,100,0.595,0.28330522765598676
movie,0.5,19,0,450,100,0.59,0.2893278728017348
movie,0.5,19,1,450,100,0.585,0.2953505179474828
movie,0.5,19,2,450,100,0.545,0.3435316791134668
movie,0.75,19,0,675,100,0.585,0.2953505179474828
movie,0.75,19,1,675,100,0.555,0.3314863888219708
movie,0.75,19,2,675,100,0.56,0.32546374367622277
movie,1.0,19,0,900,100,0.585,0.2953505179474828
movie,0.25,20,0,225,100,0.545,0.22194727324640706
movie,0.25,20,1,225,100,0.51,0.2719139621204911
